timestamp,needle_mm,volume_mm3,impulse_uNs,target_drops,collected_drops,excluded_first_drops,candidate_drops,outlier_drops,valid_drops,integral_median_after_skip,filter_low,filter_high,integral_median_valid,integral_mean_valid,integral_std_valid,integral_cv_valid_pct,csv_file
2026-06-11T18:26:21.615,0.50,10.416,17.87,40,40,5,35,1,34,573004,401103,744905,572954,570708,53477.2,9.37032,calib_0p50mm.csv
2026-06-11T18:23:50.319,1.20,30.075,51.59,40,40,5,35,3,32,1.35407e+06,947850,1.76029e+06,1.36765e+06,1.35664e+06,175717,12.9524,calib_1p20mm.csv
2026-06-11T18:19:49.237,2.00,38.461,65.98,40,40,5,35,0,35,2.22652e+06,1.55856e+06,2.89447e+06,2.22652e+06,2.24242e+06,135019,6.02112,calib_2p00mm.csv
